term,notes
(Anterior) Cingulum Bundle,
Anteriofrontal Corpus Callosum,
Anterior Cerebral Commissure,
Anterior Commissural Nucleus,
Anterior Commissure,
Anterior Corpus Callosum,
Anterior Forceps,
Anterior Forceps Of Corpus Callosum,
Anterior Forceps Of The Corpus Callosum,
Anterior Radiation Of Thalamus,
Anterior Thalamic Radiation,
Anterior Thalamic Radiations,
Arcuate Fascicle,
Arcuate Fasciculus,
"Asciculus, Perforating",
Aslant Tract,
Band Of Baillarger,
Basis Pedunculi,
Brain External Capsule,
Brain Fornix,
Brain Internal Capsule,
Capsula Externa,
Capsula Extrema,
Capsula Interna,
Cc - Corpus Callosum,
Cerebal Peduncle,
Cerebellar Peduncle,
Cerebellar Peduncle Structure,
Cerebellospinal Tract,
Cerebellum Peduncle,
Cerebral Arcuate Fasciculus,
Cerebral Fornix,
Cerebral Fornix Structure,
Cerebral Peduncle,
Cerebral Peduncle (Archaic),
Cerebral Peduncle Structure,
Cerebral Uncinate Fasciculus,
Cingulate Cingulum,
Cingulum,
Cingulum (Ammon'S Horn),
Cingulum (Hippocampus),
Cingulum Bundle,
Cingulum Bundle In Hippocampus,
Cingulum Of Brain,
Cingulum Of Telencephalon,
Commissura Anterior,
Commissura Anterior Cerebri,
Commissura Rostral,
Commissura Rostralis,
Corona Radiata,
Corona Radiata Of Neuraxis,
Corpus Callosum,
Corpus Callosum - Anterior Midbody,
Corpus Callosum - Genu,
Corpus Callosum - Isthmus,
Corpus Callosum - Posterior Midbody,
Corpus Callosum - Rostral Body,
Corpus Callosum - Rostrum,
Corpus Callosum - Splenium,
Corpus Callosum External Capsule,
Corpus Callosum Structure,
"Corpus Callosum, Anterior Forceps",
"Corpus Callosum, Anterior Forceps (Arnold)",
"Corpus Callosum, Forceps Major",
"Corpus Callosum, Forceps Minor",
"Corpus Callosum, Posterior Forceps (Arnold)",
Cortico-Pontine Fibers,
"Cortico-Pontine Fibers, Pontine Part",
Corticopontine,
Corticopontine Fibers,
Corticopontine Fibers Of Pons,
Corticopontine Fibers Set,
Corticopontine Fibres,
Corticopontine Tract,
Corticopontine Tract Of Pons,
Corticospinal Fibers,
Corticospinal Tract,
Crus Cerebri,
External Capsule,
External Capsule Of Telencephalon,
External Sagittal Stratum,
Extreme Capsule,
Fasciculus Arcuatus,
Fasciculus Cerebro-Spinalis,
Fasciculus Fastigio-Vestibularis,
Fasciculus Fronto-Occipitalis Inferior,
Fasciculus Longitudinalis Inferior,
Fasciculus Longitudinalis Medialis (Pontis),
Fasciculus Occipito-Frontalis Inferior,
Fasciculus Occipitofrontalis Inferior,
Fasciculus Occipitofrontalis Superior,
Fasciculus Pyramidalis,
Fasciculus Subcallosus,
Fastigiobulbar Tract,
Fibrae Arcuatae Cerebri,
Fibrae Corticopontinae,
Fibrae Corticospinales,
Fibrae Pontocerebellaris,
Forceps,
Forceps Frontalis,
Forceps Major,
Forceps Major Corporis Callosi,
Forceps Major Of Corpus Callosum,
Forceps Major Of The Corpus Callosum,
Forceps Minor,
Forceps Minor Corporis Callosi,
Forceps Minor Of Corpus Callosum,
Forceps Minor Of The Corpus Callosum,
Forceps Occipitalis,
Forebrain Fornix,
Fornix,
Fornix (Column And Body Of Fornix),
Fornix Cerebri,
Fornix Hippocampus,
Fornix Of Brain,
Fornix Of Neuraxis,
Frontal Aslant Tract,
Frontal Forceps,
Fronto-Pontine Tract,
Fronto-Ponto-Cerebellar,
Fronto-Thalamic,
Frontotemporal Fasciculus,
Genicula-Celcarine Tract,
Geniculo-Calcarine Tract,
Geniculocalcarine Tract,
Geniculostriate Pathway,
Global,
Gratiolet'S Radiation,
Hippocampal Cingulum,
Hippocampus Cortex Cingulum,
Hippocampus Fornix,
Hook Bundle Of Russell,
Ic - Internal Capsule,
Inferior Cerebellar Peduncle,
Inferior Fronto-Occipital Fasciculus,
Inferior Longitudinal Fasciculus,
Inferior Occipitofrontal Fasciculus,
Internal Capsule,
Internal Capsule Of Brain,
Internal Capsule Of Telencephalon,
Internal Capsule Radiations,
Internal Capsule Structure,
Internal Capsule Structure Of Brain,
Lemniscus Medialis,
Major Forceps,
Mdlfang,
Mdlfspl,
Medial Lemniscus,
Medial Longitudinal Fasciculus,
Medial Longitudinal Fasciculus Of Pons,
Medial Longitudinal Fasciculus Of Pons Of Varolius,
Medial Longitudinal Fasciculus Of The Pons,
Medial Longitudinal Fasciculus Structure,
Meyer,
Meyer'S Loop,
Middle Cerebellar Peduncle,
Middle Frontal Corpus Callosum,
Middle Longitudinal Fasciculus,
Middle Longitudinal Fasciculus Connection To The Angular Gyrus,
Middle Longitudinal Fasciculus Connection To The Superior Parietal Lobe,
Minor Forceps,
Mlf-Medial Longitudinal Fasciculus,
Motor Cerebellar,
Motor Thalamic,
Na,
Neuraxis Cingulum,
Neuraxis Fornix,
Occipital Forceps,
Occipital Radiation Of Corpus Callosum,
Occipitocerebellar,
Olfactory Peduncle,
Olfactory Stalk,
Olfactory Tract,
Olfactory Tract Structure,
Optic Radiation,
Optic Radiations,
Paleocortical Commissure,
Parahippocampal Cingulum,
Parietal Corpus Callosum,
Parietal Radiation Of Corpus Callosum,
Parieto Thalamic,
Parieto-Occipital Pontine,
Parietocerebellar,
"Path, Perforant",
"Paths, Perforant",
"Pathway, Perforant",
"Pathways, Perforant",
Peduncle Of Midbrain,
Pedunclulus Olfactorius,
Pedunculi Cerebri,
Pedunculus Cerebralis,
Pedunculus Cerebri,
Perforant Path,
Perforant Paths,
Perforant Pathway,
Perforant Pathways,
Perforating Fasciculus,
Perpendicular Fasciculus,
Pons Medial Longitudinal Fasciculus,
Pons Of Varolius Medial Longitudinal Fasciculus,
Pontine Crossing Tract,
Pontocerebellar Fibers,
Pontocerebellar Tract,
Posteior Arcuate Fascisculus,
Posterior Arcuate Fasciculus,
Posterior Forceps,
Posterior Forceps Of Corpus Callosum,
Posterior Forceps Of The Corpus Callosum,
Precommisure,
Pyramid (Willis),
Pyramidal Tract,
Radiatio Optica,
Radiatio Thalami Anterior,
Radiation Of Thalamus,
Radiationes Thalamicae Anteriores,
Railroad Nystagmus,
Reil'S Band,
Reil'S Ribbon,
Rostral Commissure,
Russell'S Fasciculus,
Sagittal Stratum,
Spinothalamic Tract,
Striato-Fronto-Orbital,
Striato-Occipital,
Striato-Parietal,
Striato-Postcentral,
Striato-Precentral,
Striato-Prefrontal,
Striato-Premotor,
Structure Of Anterior Commissure,
Structure Of Cerebral Cingulum,
Structure Of Cingulum,
Structure Of Corticopontine Tract Of Pons,
Structure Of Corticospinal Tract,
Structure Of External Capsule,
Structure Of Extreme Capsule,
Structure Of Forceps Major,
Structure Of Forceps Minor,
Structure Of Inferior Fronto-Occipital Fasciculus,
Structure Of Inferior Longitudinal Fasciculus,
Structure Of Optic Radiation,
Structure Of Superior Fronto-Occipital Fasciculus,
Structure Of Superior Longitudinal Fasciculus,
Structure Of Tapetum Of Corpus Callosum,
Structure Of Uncinate Fasciculus,
Structure Of Vertical Occipital Fasciculus,
Subcallosal Bundle,
Subcallosal Fasciculus,
Superior Cerebellar Peduncle,
Superior Fronto-Occipital Bundle,
Superior Fronto-Occipital Fasciculus,
Superior Longitudinal Fascicle,
Superior Longitudinal Fascicle I,
Superior Longitudinal Fascicle Ii,
Superior Longitudinal Fascicle Iii,
Superior Longitudinal Fasciculus,
Superior Occipito-Frontal Fascicle,
Superior Occipitofrontal Fasciculus,
Superior Thalamic Radiation,
Tapetum,
Tapetum Corporis Callosi,
Tapetum Of Corpus Callosum,
Tegmentum,
Temporo Thalamic,
Temporo-Parietal Connections To The Superior Parietal Lobule,
Temporo-Ponto-Cerebellar,
Temporooccipital Fasciculus,
Temporopulvinar,
Thalamic Radiation,
Thalamo-Postcentral,
Thalamo-Precentral,
Thalamo-Prefrontal,
Thalamo-Premotor,
Thalamus Radiation,
Tractus Cerebello-Bulbaris,
Tractus Cortico-Spinalis,
Tractus Corticopontinus,
Tractus Corticospinalis,
Tractus Olfactorium,
Tractus Olfactorius,
Tractus Pontocerebellaris,
Tractus Pyramidalis,
Tractus Uncinatus,
Tractus Uncinatus (Lewandowsky),
Uncinate Bundle Of Russell,
Uncinate Fascicle (Russell),
Uncinate Fasciculus,
Uncinate Fasciculus Of Cerebellum,
Uncinate Fasciculus Of Pons,
Uncinate Fasciculus Of Russell,
Uncinate Fasciculus Of The Pons,
Uncinate Fasciculus-2,
Vertical Occipital Fasciculus,
posterior cingulate,
stria terminalis,
retrolenticular part of internal capsule,
body of corpus callosum,
corpus callosum body,
truncus corporis callosi,
body of corpus callosum,duplicate of row 297 (case-insensitive)
body of the corpus callosum,
corpus callosum truncus,
"corpus callosum, body",
"corpus callosum, corpus",
trunculus corporis callosi,
truncus corpus callosi,
trunk of corpus callosum,
posterior thalamic radiation,
posterior thalamic radiation,duplicate of row 308 (case-insensitive)
posterior limb of internal capsule,
dentatothalamic tract,
dentatothalamic fibers,
tractus dentatothalamicus,
