Abstract,Methods,Results,Discussion,Abstract+Methods,Abstract+Results,Abstract+Discussion,Methods+Results,Methods+Discussion,Results+Discussion,Abstract+Methods+Results,Abstract+Methods+Discussion,Abstract+Results+Discussion,Methods+Results+Discussion,Full Text
0.9683698296836983,0.9406850459482038,0.9351305812973884,0.9215017064846417,0.9733656174334141,0.9733656174334141,0.9750201450443191,0.9529314616019818,0.94,0.9363484087102177,0.9733656174334141,0.9660743134087237,0.9701853344077357,0.9546578730420445,0.977491961414791
0.9717057396928052,0.9443983402489626,0.9404861693210393,0.9335576114381834,0.9750201450443191,0.9758454106280193,0.977491961414791,0.9539473684210527,0.9444904722452361,0.945273631840796,0.9758454106280193,0.966183574879227,0.9758842443729904,0.9582309582309583,0.977491961414791
0.9741518578352181,0.9469320066334992,0.9414715719063546,0.9362416107382551,0.9758064516129032,0.9766317485898469,0.9749798224374495,0.9520661157024793,0.9411764705882353,0.9368770764119602,0.9766317485898469,0.9636803874092009,0.967741935483871,0.9563786008230453,0.9790996784565916
0.9741518578352181,0.9477178423236514,0.9474562135112594,0.9388097233864208,0.9766317485898469,0.9774557165861514,0.9774557165861514,0.9622950819672131,0.9539473684210527,0.9464138499587799,0.9774557165861514,0.9717969379532635,0.9734513274336283,0.9648405560098119,0.9790996784565916
0.9642276422764228,0.9372384937238494,0.9325463743676222,0.923728813559322,0.9717514124293786,0.9725806451612903,0.9725806451612903,0.946058091286307,0.9407839866555463,0.9374478732276897,0.9725806451612903,0.9596122778675282,0.9725806451612903,0.9504132231404959,0.9758842443729904
0.9650690495532088,0.940099833610649,0.9406850459482038,0.9286314021830394,0.9717514124293786,0.9734085414987913,0.9709208400646203,0.9512799339388934,0.9428334714167357,0.9394190871369295,0.9734085414987913,0.9644588045234249,0.9693548387096774,0.9564502875924404,0.9758842443729904
0.968421052631579,0.9443983402489626,0.9272419627749577,0.9248945147679325,0.9742351046698873,0.9758842443729904,0.9742351046698873,0.9530090684253916,0.9472817133443163,0.9359933499584372,0.9758842443729904,0.9629629629629629,0.9702333065164923,0.9581624282198523,0.9758842443729904
0.9748987854251012,0.9536423841059603,0.9446308724832215,0.9359190556492412,0.9782082324455206,0.9806763285024155,0.9790322580645161,0.9656301145662848,0.9490131578947368,0.9465020576131687,0.9806763285024155,0.967741935483871,0.9694041867954911,0.9664758789860998,0.9823151125401929
0.9732360097323601,0.945,0.9420654911838791,0.9224211423699915,0.9790322580645161,0.9806763285024155,0.9798549556809025,0.9510373443983402,0.94,0.9381270903010034,0.9806763285024155,0.967741935483871,0.9790660225442834,0.9596707818930041,0.9823151125401929
0.9667477696674777,0.945364238410596,0.9381270903010034,0.9337803855825649,0.9734085414987913,0.9742351046698873,0.9734085414987913,0.9555921052631579,0.9497114591920858,0.9394190871369295,0.9742351046698873,0.9709677419354839,0.9726247987117552,0.9615699100572364,0.9758842443729904
